Text,Date,search_term
#racism is a pandemic that can be cured without a vaccine. @lfc The entire squad knelt in Anfield's centre circle ahead of today's training session in a powerful show of support for the #BlackLivesMatter movement.… https://www.instagram.com/p/CA6v3ZrAsrN/?igshid=1n47egpidygwz,06/02/2020,vaccine
I’m praying for a coronavirus vaccine and a chill pill.,06/02/2020,vaccine
"Only 329 million cases to go, but at least we can hold down the fort until meds/vaccines are developed.",06/02/2020,vaccine
You left out “Will vaccines provide protection?” And “Will a virus with an R0 of 17 and a case fatality rate of 70% arise?”,06/02/2020,vaccine
"Why don't we investigate who's behind the virus, the murder hornets and the riots? No vaccine for me.",06/02/2020,vaccine
"Who is funding Antifa? Think curfews, lockdowns, COVID, Vaccines, gun control, caravans, tracking, race wars.. what are they hiding? #Obamagate #wwg1wga",06/02/2020,vaccine
Shout out to all the people who practiced social distancing today at the park. Just wait patiently everyone they're working on the vaccine but for now masks and distancing is the new norm. ,06/02/2020,vaccine
Outrage to a racial crime then planned riots to implement army reserve then curfew then martial law then forced vaccines It was a cop that started breaking windows in Minn wearing a mask he was followed &amp;exposed.This is a GOV takeover&amp;the end of the United States next FIMA CAMPS,06/02/2020,vaccine
"The flu shot is still 40-60% effective depending on the year. Plus there are many different strains. Washing hands and masks help, but the vaccine will only add to the benefit for sure!",06/02/2020,vaccine
"Don’t be a fear monger. 377,437 reported global COVID deaths to date. We lose half a million people every year to the common flu viruses, that we have vaccines for. And almost 5,000,000 every year to other communicable viruses and diseases. #FakeChineseVirusCrisis",06/02/2020,vaccine
Y’all need to read in to this Covid 19 vaccine. Might just be chipping us soon lol,06/02/2020,vaccine
"I’m lending my body to a COVID vaccine trial, and as a result I feel I can’t responsibly join the protests in my city. But I want to. All Americans who can should lend their bodies to the struggle for justice. It's time for the comfortable to get uncomfortable #BlackLivesMatter",06/02/2020,vaccine
"NO FORCED VACCINES! They will contain US DARPA nano chemicals irreversibly comnecting humans' brains to artificial intelligence, which will dominate our brains, converting us into robots, and ENDING HUMANITY AS WE KNOW IT! ",06/02/2020,vaccine
"On the http://mass.gov website, Phase 4 is the “new normal” — development of treatment or vaccine. Did Baker say something different today? If not, RIP Trillium Beer Garden.",06/02/2020,vaccine
"@realDonaldTrump @ViKu1111 @marcorubio NO FORCED VACCINES! They will contain US DARPA nano chemicals irreversibly comnecting humans' brains to artificial intelligence, which will dominate our brains, converting us into robots, and ENDING HUMANITY AS WE KNOW IT! ",06/02/2020,vaccine
WHY DONT YOU MOVE TO CHINA. YOU WILL GET THE VACCINE IN ADVANCE FROM THEIR NEXT DEADLY VIRUS THEY RELEASE ON THE WORLD. IF YOU DONT THINK THAT WAS A REAL LIVE TEST RUN FOR SOMETHING STRONGER. YOU ARE DELUSIONAL,06/02/2020,vaccine
"Noticed that face masks available at #CostcoWholesale are Made in China. Also, China is collaborating with #Canada on #COVID19 vaccine development. Looks like Canada has gotten an all inclusive Made-in-China package deal- for both the ‘disease’ and the ‘cure’. #COVID19Canada",06/02/2020,vaccine
#MORE? Budget Bill allocates $1.5 million to vaccine outreach. Kyle wants $2 million more - from federal #CARESAct #VaccinesAreNotTheAnswer,06/02/2020,vaccine
